text,label
please bring into view the robotic instrument on the left,TL
let’s highlight the robotic left arm,TL
could you center on the da vinci’s left end effector,TL
can you track da vinci’s left instrument,TL
go ahead and follow the left tool,TL
please bring into view the robotic left arm,TL
please track the left instrument,TL
can you bring into view the left tool,TL
i need you to highlight the left tool,TL
can you focus on the left arm,TL
make sure to track the da vinci left tool,TL
go ahead and focus on the left tool,TL
make sure to highlight the left instrument,TL
can you bring into view the robotic instrument on the left,TL
please track the robotic left arm,TL
go ahead and zoom on the robotic left arm,TL
i need you to bring into view the left instrument,TL
kindly highlight the robotic instrument on the left,TL
make sure to focus on the left instrument,TL
i need you to align with the robotic instrument on the left,TL
can you focus on the da vinci left tool,TL
make sure to focus on the left manipulator,TL
could you zoom on da vinci’s left instrument,TL
make sure to align with the left manipulator,TL
make sure to zoom on the da vinci’s left end effector,TL
i need you to focus on the left manipulator,TL
let’s center on the da vinci’s left end effector,TL
let’s bring into view the left tool,TL
can you zoom on the robotic left arm,TL
please focus on the da vinci left tool,TL
can you track the robotic left arm,TL
make sure to center on the robotic instrument on the left,TL
go ahead and focus on the da vinci left tool,TL
could you zoom on the left tool,TL
go ahead and bring into view the left arm,TL
can you align with the left instrument,TL
go ahead and track the left manipulator,TL
i need you to align with the left manipulator,TL
can you center on the da vinci left tool,TL
kindly track da vinci’s left instrument,TL
make sure to bring into view the da vinci’s left end effector,TL
go ahead and highlight the left instrument,TL
could you track the left instrument,TL
kindly zoom on da vinci’s left instrument,TL
could you bring into view da vinci’s left instrument,TL
kindly bring into view the left tool,TL
go ahead and center on the robotic left arm,TL
go ahead and follow da vinci’s left instrument,TL
could you zoom on the left manipulator,TL
make sure to track the robotic left arm,TL
could you align with the robotic left arm,TL
let’s bring into view the left instrument,TL
kindly align with the left manipulator,TL
kindly bring into view the robotic instrument on the left,TL
can you bring into view the robotic left arm,TL
go ahead and zoom on the left tool,TL
i need you to follow the da vinci’s left end effector,TL
let’s follow the da vinci’s left end effector,TL
could you align with the left arm,TL
make sure to align with the left tool,TL
go ahead and center on the left manipulator,TL
kindly align with da vinci’s left instrument,TL
can you focus on the left instrument,TL
let’s center on the robotic instrument on the left,TL
i need you to highlight the left instrument,TL
kindly follow the robotic instrument on the left,TL
can you highlight the da vinci left tool,TL
make sure to track the left tool,TL
i need you to track the left manipulator,TL
can you align with the robotic left arm,TL
go ahead and center on the left instrument,TL
could you focus on the left instrument,TL
kindly align with the left tool,TL
can you zoom on the da vinci’s left end effector,TL
make sure to align with the robotic instrument on the left,TL
please align with the left instrument,TL
can you bring into view da vinci’s left instrument,TL
please bring into view the left tool,TL
let’s track the da vinci left tool,TL
kindly zoom on the da vinci’s left end effector,TL
can you highlight the left instrument,TL
could you align with the left instrument,TL
i need you to highlight the left arm,TL
kindly align with the da vinci left tool,TL
could you bring into view the left arm,TL
can you zoom on the left tool,TL
let’s track da vinci’s left instrument,TL
let’s align with the robotic left arm,TL
make sure to bring into view the robotic instrument on the left,TL
could you track the robotic left arm,TL
make sure to bring into view da vinci’s left instrument,TL
go ahead and bring into view da vinci’s left instrument,TL
could you highlight the left manipulator,TL
let’s bring into view the left manipulator,TL
please align with the left manipulator,TL
let’s follow the robotic left arm,TL
could you follow the left tool,TL
kindly align with the left instrument,TL
kindly highlight the robotic left arm,TL
kindly center on da vinci’s left instrument,TL
go ahead and highlight the da vinci’s left end effector,TL
could you center on the left tool,TL
i need you to zoom on the left tool,TL
i need you to center on the da vinci’s left end effector,TL
could you highlight da vinci’s left instrument,TL
let’s align with the left tool,TL
i need you to focus on da vinci’s left instrument,TL
make sure to center on da vinci’s left instrument,TL
can you follow the left manipulator,TL
please follow the left arm,TL
can you center on the left arm,TL
can you center on the robotic left arm,TL
please focus on the left instrument,TL
could you align with the robotic instrument on the left,TL
please track the da vinci left tool,TL
can you zoom on da vinci’s left instrument,TL
go ahead and follow the robotic instrument on the left,TL
please center on the left manipulator,TL
please center on the da vinci’s left end effector,TL
i need you to track the left tool,TL
please bring into view the left instrument,TL
kindly bring into view the da vinci left tool,TL
let’s highlight the left instrument,TL
let’s follow the da vinci left tool,TL
could you zoom on the da vinci’s left end effector,TL
go ahead and bring into view the robotic instrument on the left,TL
go ahead and focus on da vinci’s left instrument,TL
please zoom on the robotic instrument on the left,TL
go ahead and follow the left manipulator,TL
please highlight da vinci’s left instrument,TL
can you bring into view the da vinci left tool,TL
could you focus on the da vinci’s left end effector,TL
please zoom on the da vinci left tool,TL
i need you to follow the left arm,TL
make sure to center on the da vinci left tool,TL
kindly align with the da vinci’s left end effector,TL
go ahead and track the da vinci left tool,TL
let’s zoom on the da vinci’s left end effector,TL
i need you to center on the left instrument,TL
please follow the da vinci’s left end effector,TL
please track the left arm,TL
let’s center on the robotic left arm,TL
let’s follow the left arm,TL
kindly focus on the left manipulator,TL
i need you to follow the left instrument,TL
can you align with the left arm,TL
kindly follow the left arm,TL
please zoom on the da vinci’s left end effector,TL
let’s track the left arm,TL
go ahead and center on the robotic instrument on the left,TL
let’s zoom on the robotic left arm,TL
make sure to highlight the robotic instrument on the left,TL
make sure to follow the robotic instrument on the left,TL
can you track the left arm,TL
can you track the da vinci left tool,TL
make sure to bring into view the left tool,TL
can you focus on the da vinci’s left end effector,TL
go ahead and follow the da vinci’s left end effector,TL
let’s center on the da vinci left tool,TL
let’s highlight da vinci’s left instrument,TL
let’s align with the left arm,TL
i need you to follow the da vinci left tool,TL
please follow the robotic left arm,TL
let’s track the robotic instrument on the left,TL
let’s follow the left instrument,TL
kindly track the da vinci’s left end effector,TL
go ahead and track the robotic instrument on the left,TL
kindly track the left instrument,TL
let’s follow the left tool,TL
let’s bring into view the robotic instrument on the left,TL
i need you to focus on the robotic left arm,TL
please center on the da vinci left tool,TL
make sure to align with the left arm,TL
go ahead and align with the left instrument,TL
kindly highlight da vinci’s left instrument,TL
go ahead and align with the robotic left arm,TL
can you center on the left tool,TL
i need you to bring into view the da vinci’s left end effector,TL
please bring into view the left manipulator,TL
please highlight the left tool,TL
go ahead and align with the left arm,TL
make sure to highlight the left arm,TL
go ahead and bring into view the robotic left arm,TL
could you track the robotic instrument on the left,TL
please bring into view the da vinci left tool,TL
make sure to bring into view the robotic left arm,TL
can you align with the left manipulator,TL
could you highlight the robotic left arm,TL
go ahead and zoom on the left manipulator,TL
please bring into view da vinci’s left instrument,TL
can you follow the da vinci’s left end effector,TL
could you center on the robotic left arm,TL
go ahead and track the left arm,TL
make sure to zoom on the left tool,TL
make sure to center on the left arm,TL
could you zoom on the left arm,TL
please focus on the middle of the instrument,TM
can you track the center of the tool,TM
i need you to align with the midpoint of the robotic arm,TM
kindly bring into view the central section of the instrument,TM
go ahead and center on the shaft of the tool,TM
make sure to follow the midline of the device,TM
let’s highlight the body of the robotic tool,TM
could you zoom on the middle portion of the da vinci instrument,TM
please track the central axis of the instrument,TM
can you focus on the middle section of the surgical tool,TM
i need you to find the center of the da vinci instrument,TM
please align with the shaft of the robotic arm,TM
focus on the core of the surgical instrument,TM
can you lock onto the middle of the tool,TM
kindly follow the center line of the robotic arm,TM
go ahead and zoom on the middle zone of the tool,TM
bring into view the central shaft of the da vinci instrument,TM
highlight the body section of the robotic tool,TM
center on the robotic arm's core segment,TM
please find the center of the surgical device,TM
zoom on the robotic shaft area,TM
track the tool’s midsection,TM
center the camera on the middle part of the instrument,TM
please zoom into the shaft of the da vinci arm,TM
could you align the view with the middle of the tool,TM
bring up the center axis of the robotic tool,TM
can you trace the midpoint of the surgical tool,TM
i need you to follow the mid-tool region,TM
focus precisely on the center of the tool,TM
let’s find the midsection of the da vinci arm,TM
highlight the central joint of the robotic instrument,TM
locate the tool’s mid-area,TM
zoom in on the instrument body,TM
center on the robotic shaft centerline,TM
target the middle segment of the device,TM
please move to the center of the robotic arm,TM
lock onto the middle tool segment,TM
focus your view on the instrument shaft,TM
track the central structure of the tool,TM
follow the longitudinal center of the robotic tool,TM
zero in on the central area of the da vinci instrument,TM
camera to the shaft region please,TM
focus on the robotic arm’s middle frame,TM
target the instrument’s main body,TM
locate the central chassis of the tool,TM
highlight the spine of the surgical tool,TM
please center the camera on the robotic shaft,TM
zoom the camera on the instrument’s core,TM
bring the tool’s shaft into view,TM
find the middle contour of the tool,TM
trace the robotic tool's shaft section,TM
follow the lengthwise center of the instrument,TM
center around the middle of the device,TM
please show the shaft of the tool,TM
focus around the tool’s midpoint,TM
highlight the median segment of the robotic instrument,TM
camera on the central tool area please,TM
move focus to the robotic tool's shaft,TM
track the central portion of the surgical device,TM
center the camera on the midshaft area,TM
please highlight the robotic centerline,TM
bring into view the middle spine of the da vinci tool,TM
follow the shaft line of the robotic arm,TM
could you center the camera on the tool body,TM
lock view on the instrument midline,TM
target the axis of the robotic instrument,TM
identify the mid-tool area,TM
can you show the tool shaft on screen,TM
zoom into the robotic midsection,TM
align the camera with the center shaft,TM
please trace the center joint of the device,TM
center on the spine of the instrument,TM
bring the middle structure into focus,TM
i want the shaft of the tool on screen,TM
move the view to the central tool segment,TM
locate and center the robotic body,TM
pinpoint the middle of the tool,TM
focus attention on the shaft section,TM
please follow the axis of the instrument,TM
target the midpoint shaft of the da vinci tool,TM
can you get the camera on the tool’s core,TM
track down the instrument's middle length,TM
highlight the central robotic segment,TM
zoom to the center of the da vinci arm,TM
lock the view on the mid body of the tool,TM
trace the midshaft of the surgical instrument,TM
focus on the tool's body axis,TM
bring into focus the shaft center,TM
align the camera with the robotic midline,TM
please lock the shaft in center view,TM
move to the middle structure of the device,TM
zoom in on the tool center now,TM
can you center around the robotic tool's body,TM
follow and track the shaft core,TM
target the instrument's shaft line,TM
center camera on tool’s backbone,TM
highlight the middle shaft zone,TM
find and show the centerline of the tool,TM
focus exactly on the robotic arm's shaft,TM
align the view to the tool's center,TM
move directly to the middle instrument section,TM
bring the tool's core into frame,TM
track along the instrument shaft,TM
please position the view on the tool’s axis,TM
move the camera to the robotic body,TM
zoom straight on the instrument midshaft,TM
follow the tool's shaft to the center,TM
trace the robotic spine,TM
bring out the center component of the device,TM
move in on the surgical tool’s mid-body,TM
focus on the robot tool’s middle assembly,TM
center up on the tool shaft,TM
can you lock onto the robotic middle segment,TM
highlight the longitudinal shaft section,TM
camera to the mid-tool spine please,TM
align your view with the robotic tool axis,TM
lock the camera on the central shaft joint,TM
bring the instrument’s core zone on screen,TM
zoom into the robotic tool body segment,TM
follow the central point of the da vinci arm,TM
identify the shaft’s central area,TM
move to the instrument’s axial region,TM
focus in on the shaft part of the device,TM
track directly to the robotic mid-tool,TM
show the robotic device's shaft view,TM
follow the robotic body centerline,TM
align camera view on the tool midsection,TM
focus the camera on the tool shaft axis,TM
target the body line of the surgical instrument,TM
lock center on the robotic core zone,TM
show me the robotic shaft focus area,TM
locate the instrument’s shaft and hold it center,TM
highlight the midline of the robotic mechanism,TM
bring focus to the surgical shaft segment,TM
please zoom in on the tool’s middle structure,TM
target and hold the mid part of the tool,TM
focus and track the shaft path,TM
highlight and hold the instrument core view,TM
start moving the camera,ST
please begin moving the camera,ST
can you move the camera now,ST
let’s get the camera moving,ST
go ahead and move the camera,ST
initiate camera movement,ST
start shifting the camera,ST
please get the camera in motion,ST
move the camera forward,ST
can we begin camera movement,ST
i need the camera to start moving,ST
get the camera going now,ST
trigger the camera to move,ST
kick off camera motion,ST
begin the camera motion,ST
set the camera in motion please,ST
let the camera begin moving,ST
please initiate camera shift,ST
make the camera start moving,ST
move the camera gently now,ST
please push the camera forward,ST
let’s start adjusting the camera,ST
camera motion go,ST
start the camera flow,ST
get ready to move the camera,ST
allow the camera to move now,ST
begin to shift the camera slowly,ST
please slide the camera,ST
let the camera start drifting,ST
initiate smooth camera motion,ST
make the camera begin to shift,ST
let’s activate the camera movement,ST
can you go ahead and move the camera,ST
get the camera to start sliding,ST
please direct the camera to move,ST
go on and start moving the scope,ST
begin moving the surgical camera,ST
can we have the camera in motion now,ST
kindly move the camera forward,ST
start gliding the camera please,ST
allow camera to begin moving,ST
begin repositioning the camera,ST
start moving the view,ST
set camera movement in action,ST
slide the camera gently now,ST
please start panning the camera,ST
get the camera in motion now,ST
start nudging the camera,ST
please initiate visual motion,ST
move the view slowly now,ST
give motion to the camera,ST
start transitioning the camera,ST
camera should start moving,ST
get motion started on the camera,ST
allow camera to shift,ST
please go ahead and adjust the camera,ST
launch camera movement,ST
begin subtle camera movement,ST
let’s roll the camera now,ST
start rotating the scope slightly,ST
gently move the camera forward,ST
initiate the camera shift,ST
please make the camera mobile,ST
time to move the camera,ST
begin moving the camera gently,ST
get started with camera adjustment,ST
activate camera repositioning,ST
commence the motion of the camera,ST
move camera into position,ST
please start the visual adjustment,ST
initiate surgical view movement,ST
shift the camera slowly now,ST
let’s shift the camera into motion,ST
turn the camera movement on,ST
please make the scope move,ST
slide the scope now,ST
kick off the camera path,ST
transition the camera view,ST
set the surgical view in motion,ST
activate the camera tracking,ST
start the imaging movement,ST
get the view to move now,ST
please start displacing the camera,ST
begin the scope travel,ST
push the camera into movement,ST
activate the motion controls,ST
start your movement now camera,ST
get the camera sliding,ST
roll the scope forward,ST
begin visual repositioning,ST
give the camera some motion,ST
trigger camera drift,ST
move that camera now,ST
let's begin surgical camera motion,ST
camera shift now please,ST
initiate optical movement,ST
prompt the camera to start moving,ST
engage motion on the camera,ST
begin moving the visual field,ST
move the camera into action,ST
please enable camera shift,ST
go ahead and make the camera shift,ST
shift the surgical camera,ST
camera begin your move,ST
enable motion on the scope,ST
camera motion now,ST
get that camera moving,ST
camera start gliding,ST
activate shift in visual feed,ST
let’s slide the camera forward,ST
please roll the view now,ST
trigger visual field movement,ST
motion required on camera now,ST
start movement on the da vinci camera,ST
enable optical transition now,ST
drift the camera forward,ST
scope needs to start moving,ST
get the field of view in motion,ST
go ahead and pan the camera,ST
set surgical view motion now,ST
start changing the camera view,ST
prompt the scope to start shifting,ST
shift the video feed now,ST
camera should move now,ST
begin your movement,ST
time to activate the camera motion,ST
roll the video scope forward,ST
get ready to move the lens,ST
camera needs motion now,ST
start scope movement sequence,ST
camera should start traveling,ST
begin your shift camera,ST
shift the view right away,ST
move the robotic scope now,ST
ready the camera for motion,ST
get motion underway,ST
visual motion go,ST
go ahead with camera shift,ST
please slide the da vinci camera,ST
move forward with scope,ST
gently start scope movement,ST
camera go now,ST
slide your view forward,ST
pan the scope ahead,ST
let's move the surgical scope,ST
camera movement initiate,ST
please execute the camera shift,ST
launch the scope into motion,ST
get visual feed moving,ST
start the camera transition,ST
begin the optical shift,ST
please activate camera panning,ST
camera panning go,ST
slide that scope now,ST
scope move forward please,ST
motion for scope now,ST
begin moving the camera today,ST
camera to shift,ST
begin tool view motion,ST
camera drift now,ST
get scope moving gently,ST
start visual camera action,ST
move the camera with care,ST
begin repositioning the da vinci view,ST
camera should now move slowly,ST
activate the surgical lens movement,ST
start to advance the camera,ST
camera shift underway,ST
start the robotic camera motion,ST
camera push forward now,ST
please roll the robotic view,ST
launch the surgical view shift,ST
video motion go,ST
enable field movement,ST
activate camera realignment,ST
camera needs to move forward,ST
initialize visual field movement,ST
push the camera view ahead,ST
visual shift start,ST
camera movement go now,ST
advance the surgical feed,ST
let's activate camera mobility,ST
start operating the camera motion,ST
get going with the scope,ST
move the scope now,ST
begin movement in surgical view,ST
engage scope transition,ST
initiate lens motion now,ST
get the image view shifting,ST
start rolling the visual,ST
camera adjust and move,ST
slide visual into motion,ST
move your visual now,ST
scope adjust go,ST
motion for robotic camera,ST
camera motion ready go,ST
stop everything,SX
halt all actions,SX
cease all movement,SX
freeze everything now,SX
pause all systems,SX
emergency stop,SX
stop all motion,SX
shut down all activity,SX
hold everything,SX
full stop,SX
please stop all operations,SX
stop all tools now,SX
freeze the entire system,SX
shut it all down,SX
everything must stop,SX
cease all activity,SX
abort all movement,SX
suspend everything,SX
cut off all motion,SX
stop the robot completely,SX
halt robotic operation,SX
interrupt all movement now,SX
deactivate everything,SX
all motion off,SX
disengage all systems,SX
robot freeze,SX
cut all action,SX
kill all movement,SX
all systems stop now,SX
full halt please,SX
robot stop now,SX
tools down now,SX
everything pause,SX
emergency halt,SX
halt right now,SX
stop robotic systems,SX
stop the arms and camera,SX
camera and tools stop,SX
all instruments stop now,SX
end all robotic movement,SX
nothing should move,SX
freeze camera and arms,SX
pause the robot,SX
halt the robot fully,SX
stop da vinci immediately,SX
cut movement entirely,SX
no more motion,SX
tools off,SX
abort procedure now,SX
robot quiet,SX
robot pause,SX
system full stop,SX
halt every action,SX
cease tool movement,SX
cancel everything now,SX
pause everything instantly,SX
shut off all controls,SX
robot still now,SX
nothing should operate,SX
complete stop,SX
robot full freeze,SX
please stop all motion,SX
hold tools and view,SX
end robot movement,SX
tools and scope stop now,SX
halt every device,SX
shut down the entire robot,SX
robot total stop,SX
everything needs to freeze,SX
motion off,SX
put everything on hold,SX
freeze arms and lens,SX
pause robotic function,SX
cancel all robot activity,SX
tools freeze now,SX
immediate stop required,SX
end procedure movement,SX
shut down all robotic systems,SX
cut everything right now,SX
turn off motion,SX
halt scope and instruments,SX
everything down,SX
robot actions stop now,SX
stop the entire system,SX
put robot in standby,SX
disable all motion,SX
stop surgical activity,SX
nothing should move anymore,SX
pause entire procedure,SX
pause now everything,SX
shut down tools,SX
freeze the system immediately,SX
stop all mechanisms,SX
robot quiet mode,SX
no more activity please,SX
deactivate robot now,SX
suspend all robotic actions,SX
terminate all motion,SX
tools must stop,SX
shut down now,SX
cut robotic power,SX
cease surgical actions,SX
abort robotic procedure,SX
hold robotic system,SX
robot calm,SX
all components stop,SX
everything on hold,SX
everything now off,SX
robot idle,SX
tools stop,SX
put the system on hold,SX
end all ongoing motion,SX
kill the movement,SX
halt it all,SX
stop ongoing actions,SX
robot stand still,SX
pause every mechanism,SX
stop the motors,SX
pause the camera and arms,SX
turn off all operations,SX
please shut down tools and camera,SX
system standby,SX
robot disengage,SX
deactivate instruments now,SX
everything must pause,SX
halt the da vinci arms,SX
arms and lens must stop,SX
everything to stillness,SX
shut off robotic flow,SX
call off everything,SX
interrupt motion,SX
tools rest,SX
cut robotic control,SX
pause every tool,SX
freeze the motion,SX
robot needs to stop now,SX
robot emergency pause,SX
emergency tools stop,SX
camera and tools hold,SX
tools cease movement,SX
robot tools and scope stop,SX
camera and tools must freeze,SX
halt now all devices,SX
all devices must stop now,SX
stop surgical arms and scope,SX
immediate motion stop,SX
system freeze everything,SX
put da vinci on pause,SX
stop robot instantly,SX
pause the entire system,SX
robot stop immediately,SX
disable everything,SX
stop the function,SX
freeze motion completely,SX
halt the da vinci unit,SX
pause surgery now,SX
disable robot arms,SX
nothing should move anymore now,SX
immediate stop of all tools,SX
stop it all,SX
robot on hold,SX
everything stop now,SX
switch off robot activity,SX
turn off robot now,SX
robot at rest,SX
robot activity pause,SX
freeze surgery,SX
halt the movement right now,SX
suspend all activity immediately,SX
abort system actions,SX
hold everything in place,SX
robot in sleep,SX
tools must hold,SX
pause the robotic arms now,SX
pause the operating tools,SX
halt all da vinci movements,SX
complete motion stop,SX
hold robot still,SX
disable movement completely,SX
tools and visuals stop,SX
suspend procedure now,SX
end operation motion,SX
pause current motion,SX
robot hold now,SX
all moving parts stop,SX
pause surgical arms and lens,SX
freeze every robotic movement,SX
stop da vinci tools,SX
cease surgical tool use,SX
cut robot motion entirely,SX
robot still mode,SX
motion lock,SX
robot must stop,SX
tools pause required,SX
all stop,SX
please shut down everything,SX
total shutdown,SX
halt every robotic function,SX
deactivate robotic system,SX
turn off the robot motion,SX
pause the device completely,SX
suspend everything in motion,SX
cease current robotic actions,SX
emergency all stop,SX
system must halt,SX
halt surgical system,SX
shut all moving parts,SX
stop surgical robotics,SX
keep the left tool in view,KL
maintain visual on the left tool,KL
don’t lose sight of the left instrument,KL
keep showing the left tool,KL
make sure the left tool stays visible,KL
ensure we can see the left instrument,KL
left tool must stay in frame,KL
keep tracking the left tool,KL
keep the left arm on screen,KL
left instrument should remain visible,KL
keep an eye on the left tool,KL
don’t move away from the left tool,KL
maintain focus on the left instrument,KL
keep the left surgical tool in sight,KL
the left tool needs to stay visible,KL
always show the left tool,KL
don’t lose the left tool on camera,KL
keep left tool centered,KL
stay on the left tool,KL
keep the left tool framed,KL
left instrument in view at all times,KL
hold the left tool in the frame,KL
keep the left arm clearly visible,KL
maintain sight of the left instrument,KL
keep camera on the left tool,KL
do not shift off the left tool,KL
track the left instrument continuously,KL
left tool should stay on screen,KL
make sure the left arm is in view,KL
stay focused on the left tool,KL
keep the left surgical arm in the picture,KL
do not lose the left tool visually,KL
show the left tool constantly,KL
follow the left instrument,KL
stay locked on the left tool,KL
keep the left-hand tool visible,KL
always display the left instrument,KL
left tool needs to remain in view,KL
keep the lens on the left tool,KL
make sure the left tool is not out of sight,KL
continue showing the left arm,KL
left tool visibility must be maintained,KL
don’t let the left instrument disappear,KL
focus on the left tool,KL
the camera should follow the left tool,KL
keep the scope on the left tool,KL
track left tool closely,KL
make sure we keep seeing the left instrument,KL
maintain the left arm’s visibility,KL
